note_id,client_id,tags,products_mentioned,brands_mentioned,locations,events,professions,budget_range,budget_min,budget_max,budget_confidence,budget_amount,client_status,allergies,allergy_severity,dietary,relationship_context,key_dates,occasions,urgency,event_date,days_until_event,urgency_level,products,entities,implicit_signals,risk_flags,processing_notes,profession,processing_tier,confidence,processing_time_ms,rgpd_flag,error,reasoning,model_name,cost,age,gender,tier,ID,from_cache,escalated_from,escalation_reason
,,[],[],[],[],[],[],,,,,,,[],low,[],{},[],[],,,,,[],{},{},{},[],,tier2,0.0,0.0,False,,,,0.0,,,2,CA_101,True,,
,,"['medical_specialist', 'gluten_free', 'music_lover', 'travel_frequent', 'professor', 'sustainable_values', 'vegan']",[],[],[],[],[],14K-18K,14000.0,18000.0,inferred_strong,,vic,['gluten_intolerance'],high,"['vegan', 'gluten_free']","{'gift_for': ['partner'], 'shopping_with': ['partner']}",[],['career_milestone'],this_month,2026-03-15,46.0,,[],"{'products_mentioned': [], 'brands_mentioned': [], 'locations': [], 'events': ['Camino de Santiago']}","{'purchase_intent': 'high', 'urgency_implicit': True, 'sentiment': 'enthusiastic', 'objections': []}","{'allergy_emergency': True, 'rgpd_sensitive': False, 'manual_review_required': False}","[""The clients' professional background and lifestyle suggest a preference for high-quality, ethically sourced products.""]",medical_specialist,tier3,0.97,0.0,False,,The clients are first-time but high-potential customers with a clear interest in sustainable products and a significant budget. Their professional and personal interests suggest a strong purchase intent.,gpt-4o,0.006135,,,3,CA_102,,2.0,high
,,[],[],[],[],[],[],,,,,,,[],low,['vegetarian'],"{'gift_for': [], 'shopping_with': []}",[],[],,,,,[],{},{},{},[],,tier1,0.6,1.1830329895019531,False,,,,0.0,,female,1,CA_103,True,,
,,"['travel_frequent', 'gift_for_genitori']",[],[],"['San Francisco', 'Tokyo', 'Singapore']",[],[],10K+,10000.0,,inferred,,new,['penicillina_allergy'],medium,[],"{'gift_for': ['genitori'], 'shopping_with': []}",[],['anniversario_genitori'],,,,,[],{},{},{},[],tech_executive,tier2,0.85,0.0,False,,"Nuovo cliente con alto potenziale, informazioni sulla professione e sugli interessi, budget aperto ma non esplicito, allergia segnalata",llama-3.3-70b-versatile,0.0,,,2,CA_104,True,,
,,[],[],[],[],[],[],,,,,,,[],low,[],{},[],[],,,,,[],{},{},{},[],,tier2,0.0,0.0,False,,,,0.0,,,2,CA_105,True,,
,,[],[],[],[],[],[],,,,,,,[],low,[],{},[],[],,,,,[],{},{},{},[],,tier2,0.0,0.0,False,,,,0.0,,,2,CA_106,True,,
,,"['spa_wellness', 'art_lover', 'travel_frequent', 'museum_curator', 'pescatarian', 'nickel_allergy', 'leather_goods']",[],[],[],[],[],5K-6K,5000.0,6000.0,explicit,,regular,['nickel_allergy'],high,['pescatarian'],"{'gift_for': [], 'shopping_with': ['alone']}",[],[],not_specified,,,,[],"{'products_mentioned': [], 'brands_mentioned': [], 'locations': ['Basel', 'Venice', 'Miami', 'Bali', 'New York', 'Sorbonne'], 'events': []}","{'purchase_intent': 'high', 'urgency_implicit': False, 'sentiment': 'enthusiastic', 'objections': []}","{'allergy_emergency': True, 'rgpd_sensitive': False, 'manual_review_required': False}","['Client is interested in artist collaborations and limited editions, which could be an upsell opportunity.']",museum_curator,tier3,0.95,0.0,False,,"The client is a regular and cultivated client with a clear budget and style preference. Nickel allergy is a critical factor for product selection. The client is interested in artistic and sophisticated styles, aligning with her profession and lifestyle.",gpt-4o,0.0062525,,,3,CA_107,False,,
,,[],[],[],[],[],[],,,,,,,[],low,[],{},[],[],,,,,[],{},{},{},[],,tier2,0.0,0.0,False,,,,0.0,,,2,CA_108,True,,
,,"['travel_frequent', 'professional_athlete', 'vegan', 'womenswear', 'leather_goods']",[],[],[],[],[],5K-10K,7000.0,10000.0,explicit,,potential_high,[],low,['vegan'],"{'gift_for': ['daughter'], 'shopping_with': ['alone']}",[],[],next_month,,,,[],"{'products_mentioned': [], 'brands_mentioned': [], 'locations': ['Miami', 'Dubai'], 'events': []}","{'purchase_intent': 'high', 'urgency_implicit': False, 'sentiment': 'enthusiastic', 'objections': [], 'opportunities_upsell': ['investment_pieces', 'craftsmanship_quality']}","{'allergy_emergency': False, 'rgpd_sensitive': False, 'manual_review_required': False}","['Client is a vegan and practices pilates, indicating a health-conscious lifestyle. She is recently divorced and looking to renew her personal image, which may influence her purchasing decisions.']",medical_specialist,tier3,0.95,0.0,False,,"The client is a high potential new client with a clear interest in elegant professional bags and a specific budget. Her lifestyle and profession suggest a high purchase intent, and her interest in craftsmanship and durability presents upsell opportunities.",gpt-4o,0.0061125,,,3,CA_109,False,,
,,[],[],[],[],[],[],,,,,,,[],low,[],{},[],[],,,,,[],{},{},{},[],,tier2,0.0,0.0,False,,,,0.0,,,2,CA_110,True,,
