tag_id,tag_name,category,definition_fr,definition_en,business_value,keywords_fr,keywords_en,keywords_it,keywords_es,keywords_de
1,leather_goods,PRODUCT_PREFERENCES,"Intérêt pour la maroquinerie (sacs, petite maroquinerie)","Interest in leather goods (bags, SLG)","Core business driver","sac,maroquinerie,cuir,valise,portefeuille","bag,leather,handbag,wallet,purse","borsa,pelle,portafoglio","bolso,cuero,cartera","Tasche,Leder,Geldbörse"
2,watches,PRODUCT_PREFERENCES,"Intérêt pour l'horlogerie","Interest in watches/horology","High ticket item cross-sell","montre,horlogerie,chronographe,automatique","watch,timepiece,chronograph,automatic","orologio,cronografo","reloj,cronógrafo","Uhr,Armbanduhr"
3,jewelry,PRODUCT_PREFERENCES,"Intérêt pour la joaillerie","Interest in jewelry","High ticket item cross-sell","bijou,joaillerie,bague,collier,diamant","jewelry,jewellery,ring,necklace,diamond","gioiello,anello,collana","joya,anillo,collar","Schmuck,Ring,Halskette"
4,ready_to_wear,PRODUCT_PREFERENCES,"Intérêt pour le prêt-à-porter","Interest in ready-to-wear/fashion","Seasonal recurrence","vêtement,mode,robe,costume,prêt-à-porter","clothing,fashion,dress,suit,rtw","abbigliamento,vestito,abito","ropa,vestido,traje","Kleidung,Kleid,Anzug"
5,shoes,PRODUCT_PREFERENCES,"Intérêt pour les souliers","Interest in shoes/footwear","Entry point & recurrence","chaussure,soulier,basket,sneaker,talon","shoe,sneaker,heel,boots","scarpa,tacco,stivale","zapato,zapatilla,tacón","Schuh,Sneaker,Absatz"
6,perfume_cosmetics,PRODUCT_PREFERENCES,"Intérêt pour parfums et cosmétiques","Interest in perfumes & cosmetics","Gifting & entry point","parfum,fragrance,cosmétique,maquillage","perfume,fragrance,cosmetics,makeup","profumo,cosmetico,trucco","perfume,cosmético,maquillaje","Parfüm,Kosmetik,Make-up"
7,accessories,PRODUCT_PREFERENCES,"Intérêt pour les accessoires (ceintures, foulards...)","Interest in accessories (belts, scarves...)","Add-on sales","accessoire,ceinture,foulard,cravate,lunettes","accessory,belt,scarf,tie,sunglasses","accessorio,cintura,sciarpa","accesorio,cinturón,bufanda","Accessoire,Gürtel,Schal"
8,hardsided_luggage,PRODUCT_PREFERENCES,"Intérêt pour les malles et bagages rigides","Interest in trunks & hardsided luggage","Heritage & high value","malle,coffre,bagage rigide","trunk,hardsided,luggage","baule,valigia rigida","baúl,equipaje rígido","Koffer,Hartschale"
9,exotic_skins,PRODUCT_PREFERENCES,"Intérêt pour les cuirs exotiques","Interest in exotic skins","VIC & High Value","exotique,crocodile,python,autruche,lézard","exotic,croco,python,ostrich,lizard","esotico,coccodrillo,pitone","exótico,cocodrilo,pitón","Exoten,Krokodil,Python"
10,custom_orders,PRODUCT_PREFERENCES,"Intérêt pour la personnalisation/sur-mesure","Interest in personalization/made-to-order","Engagement & Loyalty","sur-mesure,personnalisation,commande spéciale,monogramme","custom,bespoke,made-to-order,monogram","su misura,personalizzazione","a medida,personalización","Maßanfertigung,Personalisierung"
11,golf,LIFESTYLE,"Pratique ou intérêt pour le golf","Golf practice or interest","Targeted events & lifestyle products","golf,golfeur,green,club","golf,golfer,green,club","golf,golfista","golf,golfista","Golf,Golfer"
12,sailing,LIFESTYLE,"Pratique ou intérêt pour la voile/yachting","Sailing/Yachting interest","Summer collections & events","voile,bateau,yacht,mer,navigation","sailing,boat,yacht,sea,sailing","vela,barca,yacht","vela,barco,yate","Segeln,Boot,Yacht"
13,equestrian,LIFESTYLE,"Pratique ou intérêt pour l'équitation","Equestrian interest","Heritage link & events","équitation,cheval,cavalier,hippique","equestrian,horse,riding","equitazione,cavallo","equitación,caballo","Reiten,Pferd"
14,tennis,LIFESTYLE,"Pratique ou intérêt pour le tennis","Tennis interest","Sportswear & events","tennis,roland garros,match","tennis,wimbledon,match","tennis,partita","tenis,partido","Tennis,Spiel"
15,skiing,LIFESTYLE,"Pratique ou intérêt pour le ski/montagne","Skiing/Mountain interest","Winter collections","ski,montagne,neige,hiver,station","ski,mountain,snow,winter,resort","sci,montagna,neve","esquí,montaña,nieve","Ski,Berg,Schnee"
16,art_collector,LIFESTYLE,"Collectionneur d'art","Art collector","High culture events & partnerships","art,collection,galerie,peinture,sculpture","art,collection,gallery,painting,sculpture","arte,collezione,galleria","arte,colección,galería","Kunst,Sammlung,Galerie"
17,wine_connoisseur,LIFESTYLE,"Amateur de vins et spiritueux","Wine & Spirits connoisseur","LVMH ecosystem cross-sell","vin,champagne,spiritueux,cave,dégustation","wine,champagne,spirits,cellar,tasting","vino,champagne,cantina","vino,champán,bodega","Wein,Champagner,Keller"
18,gastronomy,LIFESTYLE,"Amateur de gastronomie","Gastronomy enthusiast","Events & experiences","gastronomie,restaurant,chef,cuisine,étoilé","gastronomy,restaurant,chef,cooking,michelin","gastronomia,ristorante,chef","gastronomía,restaurante,chef","Gastronomie,Restaurant,Koch"
