tag_id,tag_name,category,definition,examples,keywords_fr,keywords_en,keywords_it,keywords_es,keywords_de
1,leather_small,PRODUCT_PREFERENCES,"Small leather goods like wallets and cardholders","Wallets, cardholders, key holders","portefeuille, portecarte, porte-clés","wallet, cardholder, key holder","portafoglio, portacarte, portachiavi","cartera, tarjetero, llavero","Geldbörse, Kartenetui, Schlüsselanhänger"
2,leather_travel,PRODUCT_PREFERENCES,"Travel bags and luggage pieces","Weekend bag, travel bag, luggage","sac voyage, sac weekend, bagage","travel bag, weekend bag, luggage","borsa viaggio, borsa weekend, bagaglio","bolso viaje, maleta","Reisetasche, Koffer, Gepäck"
3,leather_work,PRODUCT_PREFERENCES,"Professional bags for work use","Briefcase, work bag, laptop bag","serviette, sac travail, porte-documents","briefcase, work bag, laptop bag","borsa lavoro, valigetta","maletín, bolso trabajo","Aktentasche, Arbeitstasche"
4,ready_to_wear,PRODUCT_PREFERENCES,"Ready-to-wear fashion items","Clothing, apparel, fashion items","prêt-à-porter, vêtements, mode","ready-to-wear, clothing, fashion","prêt-à-porter, abbigliamento, moda","prêt-à-porter, ropa, moda","Prêt-à-porter, Kleidung, Mode"
5,watches,PRODUCT_PREFERENCES,"Watch products and horlogerie interest","Watches, timepieces, horlogerie","montres, horlogerie","watches, timepieces, horlogerie","orologi, orologeria","relojes, relojería","Uhren, Uhrmacherei"
6,jewelry,PRODUCT_PREFERENCES,"Jewelry and fine jewelry pieces","Jewelry, fine jewelry, bijoux","bijoux, joaillerie","jewelry, fine jewelry","gioielli, gioielleria","joyas, joyería","Schmuck, Juwelen"
7,shoes,PRODUCT_PREFERENCES,"Footwear and shoe products","Shoes, boots, footwear","chaussures, bottes, souliers","shoes, boots, footwear","scarpe, stivali, calzature","zapatos, botas, calzado","Schuhe, Stiefel, Schuhwerk"
8,accessories,PRODUCT_PREFERENCES,"Fashion accessories and add-ons","Belts, scarves, accessories","accessoires, ceintures, écharpes","accessories, belts, scarves","accessori, cinture, sciarpe","accesorios, cinturones, pañuelos","Accessoires, Gürtel, Schals"
9,personalization_interest,PRODUCT_PREFERENCES,"Interest in personalized/custom pieces","Initials, monogram, bespoke","personnalisation, initiales, monogramme","personalization, initials, monogram","personalizzazione, iniziali, monogramma","personalización, iniciales, monograma","Personalisierung, Initialen, Monogramm"
10,limited_editions_interest,PRODUCT_PREFERENCES,"Interest in limited edition pieces","Limited, exclusive, rare pieces","édition limitée, exclusif, rare","limited edition, exclusive, rare","edizione limitata, esclusivo, raro","edición limitada, exclusivo, raro","limitierte Auflage, exklusiv, selten"
