pilier_1_univers_produit,pilier_2_profil_client,pilier_3_hospitalite_care,pilier_4_action_business,meta_analysis,confidence,processing_tier,extracted_by,error,from_cache,processing_time_ms,rgpd_flag,tier,ID
"{'categories': ['leather_goods', 'ready_to_wear', 'first_visit', 'medical_dentist', 'vegetarian', 'travel_frequent'], 'usage': ['professional_work'], 'preferences': {'colors': ['black', 'navy'], 'styles': [], 'hardware': [], 'materials': ['smooth_leather']}, 'matched_products': [{'sku': 'NVPROD3570023V/1AA4K2', 'name': 'Pantalon de survêtement en cuir', 'price': 4150.0, 'url': 'https://fr.louisvuitton.com/fra-fr/produits/pantalon-de-survetement-en-cuir-nvprod3570023v/1AA4K2', 'match_score': 0.61}, {'sku': 'NVPROD3970174V/1AB6XV', 'name': 'Jupe à détails en cuir et fermeture à glissière', 'price': 2890.0, 'url': 'https://fr.louisvuitton.com/fra-fr/produits/jupe-a-details-en-cuir-et-fermeture-a-glissiere-nvprod3970174v/1AB6XV', 'match_score': 0.61}, {'sku': 'NVPROD4830056V/1AFATC', 'name': 'Pantalon workwear en coton', 'price': 1100.0, 'url': 'https://fr.louisvuitton.com/fra-fr/produits/pantalon-workwear-en-coton-nvprod4830056v/1AFATC', 'match_score': 0.6}]}","{'purchase_context': {'type': 'Gift', 'behavior': 'first_visit'}, 'profession': {'sector': 'medical_dentist', 'status': None}, 'lifestyle': {'passions': [], 'family': 'Unknown'}}","{'diet': ['vegetarian'], 'allergies': {'food': ['pollen_allergy'], 'contact': []}, 'values': [], 'occasion': 'birthday'}","{'lead_temperature': 'Warm', 'next_best_action': None, 'budget_potential': 'core (2K-5K)', 'urgency': None}","{'confidence_score': 0.85, 'missing_info': [], 'risk_flags': []}",0.85,tier2,,,False,0.0,False,2,CA_101
"{'categories': ['medical_physician', 'first_visit', 'vegan', 'gluten_free', 'travel_frequent', 'wedding_anniversary', 'gift_for_nieces_nephews'], 'usage': [], 'preferences': {'colors': [], 'styles': [], 'hardware': [], 'materials': []}, 'matched_products': []}","{'purchase_context': {'type': 'Gift', 'behavior': 'first_visit'}, 'profession': {'sector': 'medical_physician', 'status': None}, 'lifestyle': {'passions': [], 'family': 'Unknown'}}","{'diet': ['vegan', 'gluten_free'], 'allergies': {'food': ['gluten_allergy'], 'contact': []}, 'values': [], 'occasion': 'wedding_anniversary'}","{'lead_temperature': 'Warm', 'next_best_action': None, 'budget_potential': 'ultra_high (15K+)', 'urgency': None}","{'confidence_score': 0.85, 'missing_info': [], 'risk_flags': []}",0.85,tier2,,,False,0.0,False,2,CA_102
"{'categories': ['brown_cognac', 'beige_neutral', 'luxury_service'], 'usage': [], 'preferences': {'colors': ['brown_cognac', 'beige_neutral'], 'styles': [], 'hardware': [], 'materials': []}, 'matched_products': [{'sku': 'NVPROD4320123V/M01266', 'name': 'Collier Monogram Colors', 'price': 1130.0, 'url': 'https://fr.louisvuitton.com/fra-fr/produits/collier-monogram-colors-s00-nvprod4320123v/M01266', 'match_score': 0.49}, {'sku': 'NVPROD2070017V/Q9N92A', 'name': 'Bague Color Blossom  or jaune  or blanc  cornaline et diamants', 'price': 3650.0, 'url': 'https://fr.louisvuitton.com/fra-fr/produits/bague-color-blossom-or-jaune-or-blanc-cornaline-et-diamants-nvprod2070017v/Q9N92A', 'match_score': 0.49}, {'sku': 'NVPROD1550161V/Q9L96A', 'name': 'Bague Color Blossom  or jaune  or blanc  onyx et diamants', 'price': 3350.0, 'url': 'https://fr.louisvuitton.com/fra-fr/produits/bague-color-blossom-or-jaune-or-blanc-onyx-et-diamants-nvprod1550161v/Q9L96A', 'match_score': 0.49}]}","{'purchase_context': {'type': 'Self', 'behavior': None}, 'profession': {'sector': None, 'status': None}, 'lifestyle': {'passions': [], 'family': 'Unknown'}}","{'diet': [], 'allergies': {'food': ['vegetarian'], 'contact': []}, 'values': [], 'occasion': None}","{'lead_temperature': 'Discovery', 'next_best_action': None, 'budget_potential': 'flexible_unknown (None)', 'urgency': 'low'}","{'confidence_score': 0.75, 'missing_info': [], 'risk_flags': []}",0.75,tier1,,,False,1.9044876098632812,False,1,CA_103
"{'categories': ['tech_engineer', 'entrepreneur_startup', 'travel_frequent', 'sports_crossfit', 'first_visit', 'gift_for_parents', 'wedding_anniversary'], 'usage': ['casual_daily', 'travel'], 'preferences': {'colors': [], 'styles': [], 'hardware': [], 'materials': []}, 'matched_products': []}","{'purchase_context': {'type': 'Gift', 'behavior': 'first_visit'}, 'profession': {'sector': 'tech_engineer', 'status': None}, 'lifestyle': {'passions': [], 'family': 'Unknown'}}","{'diet': [], 'allergies': {'food': ['penicillin_allergy'], 'contact': []}, 'values': [], 'occasion': 'wedding_anniversary'}","{'lead_temperature': 'Warm', 'next_best_action': None, 'budget_potential': 'ultra_high (15K+)', 'urgency': None}","{'confidence_score': 0.85, 'missing_info': [], 'risk_flags': []}",0.85,tier2,,,False,0.0,False,2,CA_104
"{'categories': ['vip', 'gift_for_child', 'wedding', 'travel_frequent', 'art_collector', 'vegetarian', 'professional_work', 'evening'], 'usage': ['professional_work', 'evening'], 'preferences': {'colors': [], 'styles': [], 'hardware': [], 'materials': []}, 'matched_products': [{'sku': 'NVPROD3360084V/M00590', 'name': 'Set de barrettes Baby Louise', 'price': 360.0, 'url': 'https://fr.louisvuitton.com/fra-fr/produits/set-de-barrettes-baby-louise-s00-nvprod3360084v/M00590', 'match_score': 0.43}, {'sku': 'NVPROD4260089V/GI035D', 'name': 'Babies en cuir', 'price': 380.0, 'url': 'https://fr.louisvuitton.com/fra-fr/produits/babies-en-cuir-s00-nvprod4260089v/GI035D', 'match_score': 0.42}, {'sku': 'NVPROD4750043V/GI084D', 'name': 'Babies en cuir', 'price': 380.0, 'url': 'https://fr.louisvuitton.com/fra-fr/produits/babies-en-cuir-s00-nvprod4750043v/GI084D', 'match_score': 0.42}]}","{'purchase_context': {'type': 'Gift', 'behavior': 'vip'}, 'profession': {'sector': ""['legal_lawyer', 'academic_professor']"", 'status': None}, 'lifestyle': {'passions': [], 'family': 'Unknown'}}","{'diet': ['vegetarian'], 'allergies': {'food': [], 'contact': []}, 'values': [], 'occasion': 'wedding'}","{'lead_temperature': 'Warm', 'next_best_action': None, 'budget_potential': 'ultra_high (15K+)', 'urgency': None}","{'confidence_score': 0.85, 'missing_info': [], 'risk_flags': []}",0.85,tier2,,,False,0.0,False,2,CA_105
"{'categories': ['travel_luggage', 'accessories', 'travel_frequent', 'vegan', 'first_visit', 'nickel_allergy'], 'usage': ['travel'], 'preferences': {'colors': [], 'styles': [], 'hardware': [], 'materials': []}, 'matched_products': [{'sku': 'NVPROD3930139V/M77970', 'name': 'Set LV Travel', 'price': 1850.0, 'url': 'https://fr.louisvuitton.com/fra-fr/produits/set-lv-travel-nvprod3930139v/M77970', 'match_score': 0.56}, {'sku': 'NVPROD1270431V/R08502', 'name': ""Livre Travellers' Tales Bags Unpacked  version anglaise"", 'price': 125.0, 'url': 'https://fr.louisvuitton.com/fra-fr/produits/livre-travellers-tales-bags-unpacked-version-anglaise-nvprod1270431v/R08502', 'match_score': 0.55}, {'sku': 'NVPROD3950487V/M46326', 'name': 'Sac Travel', 'price': 3200.0, 'url': 'https://fr.louisvuitton.com/fra-fr/produits/sac-travel-monogram-empreinte-nvprod3950487v/M46326', 'match_score': 0.52}]}","{'purchase_context': {'type': 'Gift', 'behavior': 'first_visit'}, 'profession': {'sector': 'influenceur', 'status': None}, 'lifestyle': {'passions': [], 'family': 'Unknown'}}","{'diet': ['vegan'], 'allergies': {'food': ['nut_allergy'], 'contact': []}, 'values': [], 'occasion': None}","{'lead_temperature': 'Warm', 'next_best_action': None, 'budget_potential': 'high (5K-15K)', 'urgency': 'today'}","{'confidence_score': 0.85, 'missing_info': [], 'risk_flags': []}",0.85,tier2,,,False,0.0,False,2,CA_106
"{'categories': [], 'usage': [], 'preferences': {'colors': [], 'styles': [], 'hardware': [], 'materials': []}, 'matched_products': [{'sku': 'NVPROD120005V/R08324', 'name': 'Livre Icons of modern art. The Shchukin collection  édition anglaise', 'price': 49.0, 'url': 'https://fr.louisvuitton.com/fra-fr/produits/livre-icons-of-modern-art-the-shchukin-collection-edition-anglaise-nvprod120005v/R08324', 'match_score': 0.43}, {'sku': 'NVPROD110016V/R08339', 'name': 'Livre Peter Marino Art Architecture\xa0- Édition Deluxe', 'price': 300.0, 'url': 'https://fr.louisvuitton.com/fra-fr/produits/livre-peter-marino-art-architecture-edition-deluxe-nvprod110016v/R08339', 'match_score': 0.38}, {'sku': 'NVPROD110014V/RN0001', 'name': 'Livre Portfolio de photographies  par Jean Larivière\xa0- Volume\xa02', 'price': 6000.0, 'url': 'https://fr.louisvuitton.com/fra-fr/produits/livre-portfolio-de-photographies-par-jean-lariviere-volume-2-nvprod110014v/RN0001', 'match_score': 0.37}]}","{'purchase_context': {'type': None, 'behavior': None}, 'profession': {'sector': None, 'status': None}, 'lifestyle': {'passions': [], 'family': 'Unknown'}}","{'diet': [], 'allergies': {'food': [], 'contact': []}, 'values': [], 'occasion': None}","{'lead_temperature': 'Warm', 'next_best_action': None, 'budget_potential': None, 'urgency': None}","{'confidence_score': 0.8, 'missing_info': [], 'risk_flags': []}",0.8,tier3,,,False,0.0,False,3,CA_107
"{'categories': ['vip', 'leather_goods', 'travel', 'ready_to_wear', 'accessories', 'vegetarian', 'lactose_intolerance', 'travel_frequent', 'art_collector'], 'usage': ['professional_work', 'travel'], 'preferences': {'colors': ['beige_neutral', 'black', 'brown_cognac'], 'styles': [], 'hardware': [], 'materials': ['smooth_leather']}, 'matched_products': [{'sku': 'NVPROD3970174V/1AB6XV', 'name': 'Jupe à détails en cuir et fermeture à glissière', 'price': 2890.0, 'url': 'https://fr.louisvuitton.com/fra-fr/produits/jupe-a-details-en-cuir-et-fermeture-a-glissiere-nvprod3970174v/1AB6XV', 'match_score': 0.66}, {'sku': 'NVPROD4480023V/1AC2TX', 'name': 'Jupe en cuir à motif vichy', 'price': 3800.0, 'url': 'https://fr.louisvuitton.com/fra-fr/produits/jupe-en-cuir-a-motif-vichy-nvprod4480023v/1AC2TX', 'match_score': 0.64}, {'sku': 'NVPROD4480018V/1AC3W7', 'name': 'Veste en cuir à motif vichy et bretelles', 'price': 12000.0, 'url': 'https://fr.louisvuitton.com/fra-fr/produits/veste-en-cuir-a-motif-vichy-et-bretelles-nvprod4480018v/1AC3W7', 'match_score': 0.64}]}","{'purchase_context': {'type': 'Gift', 'behavior': 'vip'}, 'profession': {'sector': 'writer', 'status': None}, 'lifestyle': {'passions': [], 'family': 'Unknown'}}","{'diet': ['vegetarian'], 'allergies': {'food': ['lactose_intolerance'], 'contact': []}, 'values': [], 'occasion': None}","{'lead_temperature': 'Warm', 'next_best_action': None, 'budget_potential': 'ultra_high (15K+)', 'urgency': None}","{'confidence_score': 0.85, 'missing_info': [], 'risk_flags': []}",0.85,tier2,,,False,0.0,False,2,CA_108
"{'categories': [], 'usage': [], 'preferences': {'colors': [], 'styles': [], 'hardware': [], 'materials': []}, 'matched_products': [{'sku': 'NVPROD3160076V/M45811', 'name': 'Sac Grand Palais', 'price': 2700.0, 'url': 'https://fr.louisvuitton.com/fra-fr/produits/sac-grand-palais-monogram-empreinte-nvprod3160076v/M45811', 'match_score': 0.38}, {'sku': 'NVPROD4380090V/M46488', 'name': 'Sac Trianon PM', 'price': 2500.0, 'url': 'https://fr.louisvuitton.com/fra-fr/produits/sac-trianon-pm-monogram-empreinte-nvprod4380090v/M46488', 'match_score': 0.38}, {'sku': 'NVPROD4380090V/M46503', 'name': 'Sac Trianon PM', 'price': 2500.0, 'url': 'https://fr.louisvuitton.com/fra-fr/produits/sac-trianon-pm-monogram-empreinte-nvprod4380090v/M46503', 'match_score': 0.38}]}","{'purchase_context': {'type': None, 'behavior': None}, 'profession': {'sector': None, 'status': None}, 'lifestyle': {'passions': [], 'family': 'Unknown'}}","{'diet': [], 'allergies': {'food': [], 'contact': []}, 'values': [], 'occasion': None}","{'lead_temperature': 'Warm', 'next_best_action': None, 'budget_potential': None, 'urgency': None}","{'confidence_score': 0.8, 'missing_info': [], 'risk_flags': []}",0.8,tier3,,,False,0.0,False,3,CA_109
"{'categories': ['entrepreneur_startup', 'vegan', 'art_collector', 'travel_frequent', 'eco_conscious', 'wedding', 'wedding_anniversary'], 'usage': [], 'preferences': {'colors': [], 'styles': [], 'hardware': [], 'materials': []}, 'matched_products': []}","{'purchase_context': {'type': 'Gift', 'behavior': 'regular'}, 'profession': {'sector': 'entrepreneur_startup', 'status': None}, 'lifestyle': {'passions': [], 'family': 'Unknown'}}","{'diet': ['vegan'], 'allergies': {'food': [], 'contact': []}, 'values': [], 'occasion': 'wedding'}","{'lead_temperature': 'Warm', 'next_best_action': None, 'budget_potential': 'ultra_high (15K+)', 'urgency': 'today'}","{'confidence_score': 0.85, 'missing_info': [], 'risk_flags': []}",0.85,tier2,,,False,0.0,False,2,CA_110
