ID,Transcription,Language
DEMO_001,"Cliente VIC revient pour un sac Capucines MM noir, budget 12000 EUR, anniversaire dans 10 jours, relance sous 24h.",FR
DEMO_002,"Client VIP cherche ceinture cuir cognac et portefeuille assorti, budget 3500 EUR, deplacement demain, besoin urgent.",FR
DEMO_003,"First visit couple, gift for wedding in Paris, budget around 8000 EUR, prefers beige and leather, follow-up this week.",EN
DEMO_004,"Signora cliente regolare vuole Capucines BB color camel, budget flessibile 9000 EUR, evento gala sabato.",IT
DEMO_005,"Cliente menciona alergia severa al gluten para evento boutique, busca regalo premium para cumpleanos, presupuesto 6000 EUR.",ES
DEMO_006,"Neuer VIP Kunde sucht Reisegepack und kleine Lederwaren, Budget 15000 EUR, sehr dringende Entscheidung heute.",DE
DEMO_007,"Cliente corporate, directrice marketing, prefere style discret noir navy, budget 5000 EUR, usage professionnel quotidien.",FR
DEMO_008,"Client historique VIC wants limited edition piece, high social exposure, budget open, request private salon appointment.",EN
DEMO_009,"Cliente pescetariana per eventi, allergia nickel importante, cerca borsa lavoro elegante, budget 7000 EUR.",IT
DEMO_010,"Cliente VIP Capucines fan, demande preselection 3 pieces, budget 20000 EUR, voyage Londres demain matin.",FR
DEMO_011,"New client from finance sector, gift for partner birthday, budget 4500 EUR, preference black hardware silver.",EN
DEMO_012,"Cliente busca bolso para boda familiar, alergia lactosa para catering evento, presupuesto 5500 EUR.",ES
DEMO_013,"Client regular requests watch strap and leather accessories, budget 2500 EUR, no known allergies, follow-up in 48h.",EN
DEMO_014,"Cliente VIC ultra premium, demande piece statement pour Fashion Week, budget 30000 EUR, tres prioritaire.",FR
DEMO_015,"Signor manager tech, travel intensive, vuole borsa cabin e organizer, budget 6500 EUR, urgenza entro venerdi.",IT
DEMO_016,"Client advisor note: no allergies, prefers vegan options for hospitality, seeks Capucines mini for gift, budget 7800 EUR.",EN
DEMO_017,"Cliente VIP quiere coleccion capsula artista, presupuesto 14000 EUR, evento prensa la proxima semana, prioridad alta.",ES
DEMO_018,"Kunde langfristig, sucht dezente Business Tasche schwarz, Budget 5200 EUR, Besprechung mit Vorstand morgen.",DE
DEMO_019,"Cliente jeune entrepreneure, preference cuir grain et tons neutres, budget 4000 EUR, opportunite referral equipe.",FR
DEMO_020,"VIP couple requests private appointment for anniversary gifts, includes nut allergy flag for reception, budget 18000 EUR.",EN
