note_id,client_id,tags,products_mentioned,brands_mentioned,locations,events,professions,budget_range,budget_min,budget_max,budget_confidence,budget_amount,client_status,allergies,allergy_severity,dietary,relationship_context,key_dates,occasions,urgency,event_date,days_until_event,urgency_level,products,entities,implicit_signals,risk_flags,processing_notes,profession,processing_tier,confidence,processing_time_ms,rgpd_flag,error,reasoning,model_name,cost,age,gender,tier,ID,from_cache,escalation_failed
,,[],[],[],[],[],[],,,,,,,[],low,[],{},[],[],,,,,[],{},{},{},[],,tier2,0.0,0.0,False,,,,0.0,,,2,CA_101,False,
,,"['gift_for_partner', 'philanthropist', 'art_collector', 'travel_frequent', 'shopping_with_partner']",[],[],['Nepal'],['music_festivals'],[],10K-20K,11200.0,16800.0,inferred,,first_visit,['gluten_free'],high,['vegan'],"{'gift_for': ['partner'], 'shopping_with': ['partner']}",[],['anniversary'],this_month,2026-03-01,30.0,,[],{},{},{},[],medical_physician,tier2,0.92,0.0,False,,"First time customers with excellent potential, combined budget 14K flexible, multiple interests and preferences, severe gluten allergy, vegan diet, anniversary in July, interested in sustainable sourcing materials",llama-3.3-70b-versatile,0.0,,,2,CA_102,False,'coroutine' object is not iterable
,,[],[],[],[],[],[],,,,,,,[],low,['vegetarian'],"{'gift_for': [], 'shopping_with': []}",[],[],,,,,[],{},{},{},[],,tier1,0.6,1.1830329895019531,False,,,,0.0,,female,1,CA_103,False,
,,"['travel_frequent', 'gift_for_genitori']",[],[],"['San Francisco', 'Tokyo', 'Singapore']",[],[],10K+,10000.0,,inferred,,new,['penicillina_allergy'],medium,[],"{'gift_for': ['genitori'], 'shopping_with': []}",[],['anniversario_genitori'],,,,,[],{},{},{},[],tech_executive,tier2,0.85,0.0,False,,"Nuovo cliente con alto potenziale, informazioni sulla professione e sugli interessi, budget aperto ma non esplicito, allergia segnalata",llama-3.3-70b-versatile,0.0,,,2,CA_104,False,
,,[],[],[],[],[],[],,,,,,,[],low,[],{},[],[],,,,,[],{},{},{},[],,tier2,0.0,0.0,False,,,,0.0,,,2,CA_105,False,
,,[],[],[],[],[],[],,,,,,,[],low,[],{},[],[],,,,,[],{},{},{},[],,tier2,0.0,0.0,False,,,,0.0,,,2,CA_106,False,
,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,'coroutine' object is not iterable,,,,,,3,CA_107,,
,,[],[],[],[],[],[],,,,,,,[],low,[],{},[],[],,,,,[],{},{},{},[],,tier2,0.0,0.0,False,,,,0.0,,,2,CA_108,False,
,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,'coroutine' object is not iterable,,,,,,3,CA_109,,
,,[],[],[],[],[],[],,,,,,,[],low,[],{},[],[],,,,,[],{},{},{},[],,tier2,0.0,0.0,False,,,,0.0,,,2,CA_110,False,
,,"['philanthropist', 'travel_frequent', 'small_leather', 'leather_goods']",[],[],[],[],[],2K-5K,3600.0,5400.0,explicit,,regular,['pollen_allergy'],high,['vegetarian'],"{'gift_for': [], 'shopping_with': []}",[],['anniversaire'],,,,,[],{},{},{},[],creative_designer,tier2,0.85,0.0,False,,"Informations client complètes, budget explicite, allergies et régime alimentaire clairs",llama-3.3-70b-versatile,0.0,,,2,CA_111,False,'coroutine' object is not iterable
,,[],[],[],[],[],[],,,,,,,[],low,[],{},[],[],,,,,[],{},{},{},[],,tier2,0.0,0.0,False,,,,0.0,,,2,CA_112,False,
,,[],[],[],[],[],[],10K-20K,,,,9000.0,,[],low,[],"{'gift_for': [], 'shopping_with': []}",[],[],,,,,[],{},{},{},[],,tier1,0.75,0.6539821624755859,False,,,,0.0,,female,1,CA_113,False,
,,"['gift_for_spouse', 'wine_enthusiast', 'gift_for_child', 'lactose_intolerance', 'shopping_with_spouse', 'art_collector', 'travel_frequent', 'pescatarian']",[],[],"['Rioja', 'Borgoña', 'Napa', 'Toscana', 'Nueva York']",['ARCO'],[],10K-20K,12800.0,19200.0,inferred,,vip,['lactose_intolerance'],high,['pescatarian'],"{'gift_for': ['spouse', 'child'], 'shopping_with': ['spouse']}",[],"['spring', 'gifts']",,,,,[],{},{},{},[],,tier2,0.92,0.0,False,,"Información detallada sobre el cliente VIP, incluyendo su profesión, intereses y preferencias. Se infiere el presupuesto combinado y se detectan las alergias y restricciones dietéticas.",llama-3.3-70b-versatile,0.0,,,2,CA_114,False,'coroutine' object is not iterable
,,[],[],[],[],[],[],,,,,,,[],low,[],{},[],[],,,,,[],{},{},{},[],,tier2,0.0,0.0,False,,,,0.0,,,2,CA_115,False,
,,[],[],[],[],[],[],,,,,,,[],low,[],{},[],[],,,,,[],{},{},{},[],,tier2,0.0,0.0,False,,,,0.0,,,2,CA_116,False,
,,[],[],[],[],[],[],,,,,,,[],low,[],{},[],[],,,,,[],{},{},{},[],,tier2,0.0,0.0,False,,,,0.0,,,2,CA_117,False,
,,[],[],[],[],[],[],5K-10K,,,,7000.0,,[],low,[],"{'gift_for': [], 'shopping_with': []}",[],[],,,,,[],{},{},{},[],,tier1,0.75,1.0564327239990234,False,,,,0.0,,female,1,CA_118,False,
,,[],[],[],[],[],[],,,,,,,[],low,[],{},[],[],,,,,[],{},{},{},[],,tier2,0.0,0.0,False,,,,0.0,,,2,CA_119,False,
,,[],[],[],[],[],[],,,,,,,[],low,[],{},[],[],,,,,[],{},{},{},[],,tier2,0.0,0.0,False,,,,0.0,,,2,CA_120,False,
,,"['watches', 'wedding', 'leather_goods']",[],[],[],[],[],5K-10K,,,,5000.0,,['nickel_allergy'],low,['vegan'],"{'gift_for': [], 'shopping_with': []}",[],[],,,,,[],{},{},{},[],,tier1,0.95,1.508951187133789,False,,,,0.0,,female,1,CA_121,False,
,,[],[],[],[],[],[],,,,,,,[],low,[],{},[],[],,,,,[],{},{},{},[],,tier2,0.0,0.0,False,,,,0.0,,,2,CA_122,False,
